分析时间,代码,名称,所属板块,当前涨跌幅(%),流通市值(亿),失败原因,乖离率(%),突破前高,最近涨停日,相对强度,板块排名,板块涨幅≥5%家数,板块涨停家数,综合评分,filter_stock是否通过,分钟条件是否通过,分钟失败原因
2026-07-23 03:36:36,600379,宝光股份,电网设备,10.03,38.04,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,605189,富春染织,纺织制造,10.04,35.78,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,002207,*ST准油,油服工程,10.04,14.01,ST股,,,,,,,,,否,,
2026-07-23 03:36:36,600844,金煤科技,化学原料,10.04,25.26,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,002300,太阳电缆,电网设备,10.07,46.59,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,001382,新亚电缆,电网设备,10.03,10.44,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,001208,华菱线缆,电网设备,10.02,43.38,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,603191,望变电气,电网设备,10.02,44.22,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,603399,永杉锂业,能源金属,10.02,70.29,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,000533,顺钠股份,电网设备,10.01,59.45,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,600219,南山铝业,工业金属,10.11,550.07,均线未向上倾斜,,,,,,,,,否,,
2026-07-23 03:36:36,601678,滨化股份,化学原料,10.09,127.1,均线未呈多头排列,,,,,,,,,否,,
2026-07-23 03:36:36,002498,汉缆股份,电网设备,10.06,196.61,均线未呈多头排列,,,,,,,,,否,,
2026-07-23 03:36:36,002539,云图控股,农化制品,10.04,101.44,均线未呈多头排列,,,,,,,,,否,,
2026-07-23 03:36:36,000035,中国天楹,环境治理,10.02,111.72,均线未呈多头排列,,,,,,,,,否,,
2026-07-23 03:36:36,002112,三变科技,电网设备,10.0,38.05,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,002240,盛新锂能,能源金属,10.02,277.71,均线未呈多头排列,,,,,,,,,否,,
2026-07-23 03:36:36,002879,长缆科技,电网设备,9.99,22.5,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,600722,金牛化工,化学原料,9.99,74.15,流通市值不足 80 亿,,,,,,,,,否,,
2026-07-23 03:36:36,603318,水发燃气,燃气Ⅱ,9.99,39.94,流通市值不足 80 亿,,,,,,,,,否,,
